Started cpid: 0 Current pid: 6191
PING ext-cust.squarespace.com (198.49.23.145) 56(84) bytes of data.
64 bytes from 198.49.23.145: icmp_seq=353 ttl=245 time=53.8 ms
64 bytes from 198.49.23.145: icmp_seq=354 ttl=245 time=47.7 ms
64 bytes from 198.49.23.145: icmp_seq=355 ttl=245 time=51.6 ms
64 bytes from 198.49.23.145: icmp_seq=356 ttl=245 time=51.6 ms
64 bytes from 198.49.23.145: icmp_seq=357 ttl=245 time=46.3 ms
64 bytes from 198.49.23.145: icmp_seq=358 ttl=244 time=46.5 ms
64 bytes from 198.49.23.145: icmp_seq=359 ttl=244 time=51.9 ms
64 bytes from 198.49.23.145: icmp_seq=360 ttl=245 time=52.6 ms
64 bytes from 198.49.23.145: icmp_seq=361 ttl=245 time=52.0 ms
64 bytes from 198.49.23.145: icmp_seq=362 ttl=244 time=50.6 ms
64 bytes from 198.49.23.145: icmp_seq=363 ttl=244 time=45.8 ms
64 bytes from 198.49.23.145: icmp_seq=364 ttl=244 time=46.1 ms
64 bytes from 198.49.23.145: icmp_seq=365 ttl=244 time=51.4 ms
64 bytes from 198.49.23.145: icmp_seq=366 ttl=245 time=56.3 ms
64 bytes from 198.49.23.145: icmp_seq=367 ttl=244 time=51.8 ms
64 bytes from 198.49.23.145: icmp_seq=368 ttl=244 time=51.0 ms
64 bytes from 198.49.23.145: icmp_seq=369 ttl=245 time=45.9 ms
64 bytes from 198.49.23.145: icmp_seq=370 ttl=244 time=48.4 ms
64 bytes from 198.49.23.145: icmp_seq=371 ttl=245 time=63.9 ms
64 bytes from 198.49.23.145: icmp_seq=372 ttl=245 time=234 ms
64 bytes from 198.49.23.145: icmp_seq=373 ttl=245 time=50.4 ms
64 bytes from 198.49.23.145: icmp_seq=374 ttl=244 time=48.9 ms
64 bytes from 198.49.23.145: icmp_seq=375 ttl=245 time=57.9 ms
64 bytes from 198.49.23.145: icmp_seq=376 ttl=245 time=45.6 ms
64 bytes from 198.49.23.145: icmp_seq=377 ttl=245 time=46.2 ms
64 bytes from 198.49.23.145: icmp_seq=378 ttl=244 time=56.4 ms
64 bytes from 198.49.23.145: icmp_seq=379 ttl=244 time=46.9 ms
64 bytes from 198.49.23.145: icmp_seq=380 ttl=245 time=46.0 ms
64 bytes from 198.49.23.145: icmp_seq=381 ttl=244 time=48.0 ms
64 bytes from 198.49.23.145: icmp_seq=382 ttl=245 time=48.2 ms
64 bytes from 198.49.23.145: icmp_seq=383 ttl=245 time=45.6 ms
64 bytes from 198.49.23.145: icmp_seq=384 ttl=245 time=48.5 ms
64 bytes from 198.49.23.145: icmp_seq=385 ttl=244 time=46.4 ms
64 bytes from 198.49.23.145: icmp_seq=386 ttl=244 time=48.6 ms
64 bytes from 198.49.23.145: icmp_seq=387 ttl=245 time=47.8 ms
64 bytes from 198.49.23.145: icmp_seq=388 ttl=244 time=45.5 ms
64 bytes from 198.49.23.145: icmp_seq=389 ttl=245 time=47.8 ms
64 bytes from 198.49.23.145: icmp_seq=390 ttl=244 time=50.6 ms
64 bytes from 198.49.23.145: icmp_seq=391 ttl=245 time=45.0 ms
64 bytes from 198.49.23.145: icmp_seq=392 ttl=244 time=55.2 ms
64 bytes from 198.49.23.145: icmp_seq=393 ttl=244 time=52.2 ms
64 bytes from 198.49.23.145: icmp_seq=394 ttl=244 time=51.4 ms
64 bytes from 198.49.23.145: icmp_seq=395 ttl=244 time=49.4 ms
64 bytes from 198.49.23.145: icmp_seq=396 ttl=245 time=49.6 ms
64 bytes from 198.49.23.145: icmp_seq=397 ttl=244 time=46.8 ms
64 bytes from 198.49.23.145: icmp_seq=398 ttl=244 time=52.1 ms
64 bytes from 198.49.23.145: icmp_seq=399 ttl=244 time=47.7 ms
64 bytes from 198.49.23.145: icmp_seq=400 ttl=244 time=49.5 ms
64 bytes from 198.49.23.145: icmp_seq=401 ttl=245 time=48.5 ms
64 bytes from 198.49.23.145: icmp_seq=402 ttl=245 time=61.9 ms
64 bytes from 198.49.23.145: icmp_seq=403 ttl=244 time=45.0 ms
64 bytes from 198.49.23.145: icmp_seq=404 ttl=244 time=46.9 ms
64 bytes from 198.49.23.145: icmp_seq=405 ttl=244 time=48.1 ms
64 bytes from 198.49.23.145: icmp_seq=406 ttl=244 time=50.0 ms
64 bytes from 198.49.23.145: icmp_seq=407 ttl=244 time=50.1 ms
64 bytes from 198.49.23.145: icmp_seq=408 ttl=244 time=49.5 ms
64 bytes from 198.49.23.145: icmp_seq=409 ttl=245 time=47.2 ms
64 bytes from 198.49.23.145: icmp_seq=410 ttl=245 time=51.8 ms
64 bytes from 198.49.23.145: icmp_seq=411 ttl=244 time=48.9 ms
64 bytes from 198.49.23.145: icmp_seq=412 ttl=244 time=50.5 ms
64 bytes from 198.49.23.145: icmp_seq=413 ttl=245 time=52.4 ms
64 bytes from 198.49.23.145: icmp_seq=414 ttl=245 time=49.7 ms
64 bytes from 198.49.23.145: icmp_seq=415 ttl=245 time=54.0 ms
64 bytes from 198.49.23.145: icmp_seq=416 ttl=244 time=51.6 ms
64 bytes from 198.49.23.145: icmp_seq=417 ttl=244 time=46.4 ms
64 bytes from 198.49.23.145: icmp_seq=418 ttl=245 time=48.1 ms
64 bytes from 198.49.23.145: icmp_seq=419 ttl=244 time=47.3 ms
64 bytes from 198.49.23.145: icmp_seq=420 ttl=244 time=48.5 ms
64 bytes from 198.49.23.145: icmp_seq=421 ttl=245 time=52.9 ms
64 bytes from 198.49.23.145: icmp_seq=422 ttl=244 time=47.1 ms
64 bytes from 198.49.23.145: icmp_seq=423 ttl=244 time=49.0 ms
64 bytes from 198.49.23.145: icmp_seq=424 ttl=244 time=51.0 ms
64 bytes from 198.49.23.145: icmp_seq=425 ttl=244 time=46.8 ms
64 bytes from 198.49.23.145: icmp_seq=426 ttl=245 time=49.1 ms
64 bytes from 198.49.23.145: icmp_seq=427 ttl=244 time=48.9 ms
64 bytes from 198.49.23.145: icmp_seq=428 ttl=245 time=48.0 ms
64 bytes from 198.49.23.145: icmp_seq=429 ttl=244 time=45.3 ms
64 bytes from 198.49.23.145: icmp_seq=430 ttl=245 time=49.4 ms
64 bytes from 198.49.23.145: icmp_seq=431 ttl=244 time=50.0 ms
64 bytes from 198.49.23.145: icmp_seq=432 ttl=245 time=45.1 ms
64 bytes from 198.49.23.145: icmp_seq=433 ttl=245 time=50.6 ms
64 bytes from 198.49.23.145: icmp_seq=434 ttl=244 time=52.5 ms
64 bytes from 198.49.23.145: icmp_seq=435 ttl=244 time=45.5 ms
64 bytes from 198.49.23.145: icmp_seq=436 ttl=244 time=49.3 ms
64 bytes from 198.49.23.145: icmp_seq=437 ttl=244 time=44.8 ms
64 bytes from 198.49.23.145: icmp_seq=438 ttl=245 time=47.1 ms
64 bytes from 198.49.23.145: icmp_seq=439 ttl=245 time=52.1 ms
64 bytes from 198.49.23.145: icmp_seq=440 ttl=244 time=48.1 ms
64 bytes from 198.49.23.145: icmp_seq=441 ttl=245 time=46.3 ms
64 bytes from 198.49.23.145: icmp_seq=442 ttl=244 time=45.9 ms
64 bytes from 198.49.23.145: icmp_seq=443 ttl=244 time=47.6 ms
64 bytes from 198.49.23.145: icmp_seq=444 ttl=245 time=49.8 ms
64 bytes from 198.49.23.145: icmp_seq=445 ttl=244 time=47.2 ms
64 bytes from 198.49.23.145: icmp_seq=446 ttl=245 time=50.6 ms
64 bytes from 198.49.23.145: icmp_seq=447 ttl=244 time=49.3 ms
64 bytes from 198.49.23.145: icmp_seq=448 ttl=245 time=48.5 ms
64 bytes from 198.49.23.145: icmp_seq=449 ttl=245 time=51.2 ms
64 bytes from 198.49.23.145: icmp_seq=450 ttl=245 time=49.6 ms
