Started cpid: 0 Current pid: 6191
PING ext-cust.squarespace.com (198.49.23.145) 56(84) bytes of data.
64 bytes from 198.49.23.145: icmp_seq=81 ttl=244 time=43.7 ms
64 bytes from 198.49.23.145: icmp_seq=82 ttl=245 time=48.2 ms
64 bytes from 198.49.23.145: icmp_seq=83 ttl=245 time=47.3 ms
64 bytes from 198.49.23.145: icmp_seq=84 ttl=244 time=49.8 ms
64 bytes from 198.49.23.145: icmp_seq=85 ttl=245 time=48.9 ms
64 bytes from 198.49.23.145: icmp_seq=86 ttl=244 time=47.2 ms
64 bytes from 198.49.23.145: icmp_seq=87 ttl=245 time=44.2 ms
64 bytes from 198.49.23.145: icmp_seq=88 ttl=245 time=54.1 ms
64 bytes from 198.49.23.145: icmp_seq=89 ttl=244 time=49.1 ms
64 bytes from 198.49.23.145: icmp_seq=90 ttl=245 time=50.6 ms
64 bytes from 198.49.23.145: icmp_seq=91 ttl=245 time=50.7 ms
64 bytes from 198.49.23.145: icmp_seq=92 ttl=245 time=46.0 ms
64 bytes from 198.49.23.145: icmp_seq=93 ttl=245 time=50.1 ms
64 bytes from 198.49.23.145: icmp_seq=94 ttl=244 time=50.6 ms
64 bytes from 198.49.23.145: icmp_seq=95 ttl=245 time=47.0 ms
64 bytes from 198.49.23.145: icmp_seq=96 ttl=245 time=45.6 ms
64 bytes from 198.49.23.145: icmp_seq=97 ttl=244 time=52.2 ms
64 bytes from 198.49.23.145: icmp_seq=98 ttl=245 time=48.1 ms
64 bytes from 198.49.23.145: icmp_seq=99 ttl=245 time=51.1 ms
64 bytes from 198.49.23.145: icmp_seq=100 ttl=245 time=44.3 ms
64 bytes from 198.49.23.145: icmp_seq=101 ttl=244 time=47.4 ms
64 bytes from 198.49.23.145: icmp_seq=102 ttl=244 time=52.0 ms
64 bytes from 198.49.23.145: icmp_seq=103 ttl=244 time=44.9 ms
64 bytes from 198.49.23.145: icmp_seq=104 ttl=245 time=53.0 ms
64 bytes from 198.49.23.145: icmp_seq=105 ttl=245 time=48.1 ms
64 bytes from 198.49.23.145: icmp_seq=106 ttl=245 time=49.8 ms
64 bytes from 198.49.23.145: icmp_seq=107 ttl=244 time=44.9 ms
64 bytes from 198.49.23.145: icmp_seq=108 ttl=245 time=47.9 ms
64 bytes from 198.49.23.145: icmp_seq=109 ttl=244 time=46.5 ms
64 bytes from 198.49.23.145: icmp_seq=110 ttl=245 time=49.2 ms
64 bytes from 198.49.23.145: icmp_seq=111 ttl=244 time=53.0 ms
64 bytes from 198.49.23.145: icmp_seq=112 ttl=244 time=50.4 ms
64 bytes from 198.49.23.145: icmp_seq=113 ttl=245 time=63.7 ms
64 bytes from 198.49.23.145: icmp_seq=114 ttl=245 time=48.1 ms
64 bytes from 198.49.23.145: icmp_seq=115 ttl=245 time=49.1 ms
64 bytes from 198.49.23.145: icmp_seq=116 ttl=245 time=49.9 ms
64 bytes from 198.49.23.145: icmp_seq=117 ttl=244 time=47.3 ms
64 bytes from 198.49.23.145: icmp_seq=118 ttl=245 time=47.9 ms
64 bytes from 198.49.23.145: icmp_seq=119 ttl=244 time=49.8 ms
64 bytes from 198.49.23.145: icmp_seq=120 ttl=244 time=45.7 ms
64 bytes from 198.49.23.145: icmp_seq=121 ttl=245 time=44.6 ms
64 bytes from 198.49.23.145: icmp_seq=122 ttl=245 time=45.7 ms
64 bytes from 198.49.23.145: icmp_seq=123 ttl=244 time=45.7 ms
64 bytes from 198.49.23.145: icmp_seq=124 ttl=245 time=47.4 ms
64 bytes from 198.49.23.145: icmp_seq=125 ttl=245 time=46.8 ms
64 bytes from 198.49.23.145: icmp_seq=126 ttl=244 time=43.6 ms
64 bytes from 198.49.23.145: icmp_seq=127 ttl=244 time=47.8 ms
64 bytes from 198.49.23.145: icmp_seq=128 ttl=245 time=44.9 ms
64 bytes from 198.49.23.145: icmp_seq=129 ttl=245 time=44.7 ms
64 bytes from 198.49.23.145: icmp_seq=130 ttl=245 time=52.6 ms
64 bytes from 198.49.23.145: icmp_seq=131 ttl=244 time=49.0 ms
64 bytes from 198.49.23.145: icmp_seq=132 ttl=245 time=47.1 ms
64 bytes from 198.49.23.145: icmp_seq=133 ttl=245 time=44.6 ms
64 bytes from 198.49.23.145: icmp_seq=134 ttl=244 time=50.8 ms
64 bytes from 198.49.23.145: icmp_seq=135 ttl=245 time=51.4 ms
64 bytes from 198.49.23.145: icmp_seq=136 ttl=244 time=49.4 ms
64 bytes from 198.49.23.145: icmp_seq=137 ttl=245 time=45.7 ms
64 bytes from 198.49.23.145: icmp_seq=138 ttl=245 time=49.7 ms
